id,sex,age,mode,word,length,time,actions
8,female,51,normal,RPR1,4,28.479,37
9,male,14,drea,Eminem,6,43.086,52
9,male,14,drea,Jane Doe,8,52.602,51
9,male,14,drea,51063 Koeln,11,76.937,98
9,male,14,drea,02262 Wiehl,11,65.984,85
9,male,14,drea,Strasse,7,42.17,46
9,male,14,drea,54290 Trier,11,57.544,50
9,male,14,drea,Navi,4,35.37,36
9,male,14,drea,Max Muster,10,52.663,55
9,male,14,drea,51674 Wiehl,11,53.905,76
9,male,14,drea,Italien,7,41.496,49
9,male,14,drea,Radio,5,29.461,49
9,male,14,drea,Tanken,6,36.632,48
9,male,14,drea,SWR3,4,23.456,30
9,male,14,drea,57462 Olpe,10,53.519,59
9,male,14,drea,53119 Bonn,10,51.844,59
9,male,14,drea,WDR 4,5,33.428,40
9,male,14,drea,RPR1,4,21.498,23
9,male,14,drea,Musik,5,32.056,50
9,male,14,drea,Auto,4,32.752,37
9,male,14,normal,54290 Trier,11,94.531,116
9,male,14,normal,WDR 4,5,43.122,70
9,male,14,normal,Tanken,6,62.262,121
9,male,14,normal,Radio,5,35.285,76
9,male,14,normal,Eminem,6,57.968,77
9,male,14,normal,Jane Doe,8,69.674,139
9,male,14,normal,51674 Wiehl,11,83.947,96
9,male,14,normal,57462 Olpe,10,46.031,89
9,male,14,normal,51063 Koeln,11,77.323,114
9,male,14,normal,Auto,4,31.593,85
9,male,14,normal,Italien,7,43.345,116
9,male,14,normal,Musik,5,32.584,68
9,male,14,normal,Max Muster,10,85.691,161
9,male,14,normal,53119 Bonn,10,52.104,91
9,male,14,normal,RPR1,4,16.971,31
9,male,14,normal,Strasse,7,38.672,100
9,male,14,normal,02262 Wiehl,11,47.321,92
9,male,14,normal,Navi,4,27.18,91
9,male,14,normal,SWR3,4,22.064,55
10,male,23,drea,Max Muster,10,147.223,88
10,male,23,drea,Musik,5,96.487,73
10,male,23,drea,51063 Koeln,11,130.721,147
10,male,23,drea,Eminem,6,87.39,55
10,male,23,drea,54290 Trier,11,85.165,68
10,male,23,drea,53119 Bonn,10,49.274,44
10,male,23,drea,Strasse,7,44.417,37
10,male,23,drea,Auto,4,31.224,25
10,male,23,drea,02262 Wiehl,11,86.469,74
10,male,23,drea,Italien,7,59.471,47
10,male,23,drea,51674 Wiehl,11,88.893,92
10,male,23,drea,SWR3,4,37.681,39
10,male,23,drea,Tanken,6,56.445,52
10,male,23,drea,RPR1,4,41.79,28
10,male,23,drea,Navi,4,44.64,40
10,male,23,drea,Jane Doe,8,62.279,50
10,male,23,drea,Radio,5,47.662,50
10,male,23,drea,WDR 4,5,48.335,52
10,male,23,drea,57462 Olpe,10,64.008,65
10,male,23,normal,51674 Wiehl,11,53.203,88
10,male,23,normal,Musik,5,41.222,80
10,male,23,normal,Tanken,6,37.394,87
10,male,23,normal,Max Muster,10,60.182,149
10,male,23,normal,53119 Bonn,10,37.305,91
10,male,23,normal,Navi,4,29.243,85
10,male,23,normal,SWR3,4,25.814,65
10,male,23,normal,Eminem,6,27.215,77
10,male,23,normal,Strasse,7,32.086,100
10,male,23,normal,Radio,5,30.663,72
10,male,23,normal,57462 Olpe,10,39.399,83
10,male,23,normal,54290 Trier,11,54.468,106
10,male,23,normal,WDR 4,5,21.004,62
10,male,23,normal,51063 Koeln,11,45.099,116
10,male,23,normal,Italien,7,38.127,106
10,male,23,normal,02262 Wiehl,11,47.265,92
10,male,23,normal,Auto,4,31.312,81
10,male,23,normal,RPR1,4,23.142,37
10,male,23,normal,Jane Doe,8,53.79,137
11,female,23,drea,02262 Wiehl,11,139.844,102
11,female,23,drea,WDR 4,5,48.813,42
11,female,23,drea,Navi,4,42.456,34
11,female,23,drea,51063 Koeln,11,81.332,84
11,female,23,drea,Max Muster,10,74.641,91
11,female,23,drea,Eminem,6,49.127,54
11,female,23,drea,RPR1,4,29.22,41
11,female,23,drea,51674 Wiehl,11,63.093,90
11,female,23,drea,Italien,7,52.485,52
11,female,23,drea,SWR3,4,44.343,54
11,female,23,drea,Strasse,7,38.525,51
11,female,23,drea,Jane Doe,8,60.948,63
11,female,23,drea,57462 Olpe,10,75.779,81
11,female,23,drea,Auto,4,43.512,60
11,female,23,drea,Musik,5,44.872,70
11,female,23,drea,53119 Bonn,10,55.859,55
11,female,23,drea,Tanken,6,46.822,42
11,female,23,drea,54290 Trier,11,56.353,64
11,female,23,drea,Radio,5,44.304,61
11,female,23,normal,53119 Bonn,10,66.851,129
11,female,23,normal,51063 Koeln,11,79.585,150
11,female,23,normal,WDR 4,5,39.6,116
11,female,23,normal,Navi,4,42.302,119
11,female,23,normal,Eminem,6,46.13,87
11,female,23,normal,Radio,5,32.412,66
11,female,23,normal,57462 Olpe,10,52.475,133
11,female,23,normal,02262 Wiehl,11,64.312,122
11,female,23,normal,54290 Trier,11,83.984,160
11,female,23,normal,Strasse,7,44.974,114
11,female,23,normal,Max Muster,10,67.387,145
11,female,23,normal,Jane Doe,8,54.527,161
11,female,23,normal,51674 Wiehl,11,61.385,90
11,female,23,normal,Italien,7,40.682,114
11,female,23,normal,SWR3,4,19.946,43
11,female,23,normal,RPR1,4,26.747,51
11,female,23,normal,Tanken,6,51.103,137
11,female,23,normal,Auto,4,25.026,67
11,female,23,normal,Musik,5,29.254,74
12,male,52,drea,Navi,4,102.441,79
12,male,52,drea,Strasse,7,65.12,87
12,male,52,drea,Eminem,6,66.113,122
12,male,52,drea,53119 Bonn,10,66.674,99
12,male,52,drea,Tanken,6,92.675,157
12,male,52,drea,57462 Olpe,10,128.839,163
12,male,52,drea,02262 Wiehl,11,126.469,156
12,male,52,drea,RPR1,4,40.715,30
12,male,52,drea,SWR3,4,63.883,55
12,male,52,drea,Radio,5,37.424,47
12,male,52,drea,51063 Koeln,11,114.389,116
12,male,52,drea,51674 Wiehl,11,94.906,96
12,male,52,drea,54290 Trier,11,111.07,130
12,male,52,drea,Italien,7,54.103,56
12,male,52,drea,Max Muster,10,103.666,138
12,male,52,drea,WDR 4,5,44.947,64
12,male,52,drea,Musik,5,46.875,67
12,male,52,drea,Auto,4,46.46,75
12,male,52,drea,Jane Doe,8,73.428,116
12,male,52,normal,57462 Olpe,10,76.987,105
12,male,52,normal,54290 Trier,11,114.024,158
12,male,52,normal,51674 Wiehl,11,91.656,134
12,male,52,normal,Italien,7,73.118,108
12,male,52,normal,Navi,4,32.388,91
12,male,52,normal,Jane Doe,8,59.427,143
12,male,52,normal,Strasse,7,78.283,112
12,male,52,normal,Eminem,6,39.909,99
12,male,52,normal,SWR3,4,28.773,55
12,male,52,normal,RPR1,4,32.414,39
12,male,52,normal,51063 Koeln,11,65.291,142
12,male,52,normal,Auto,4,33.761,61
12,male,52,normal,02262 Wiehl,11,52.813,96
12,male,52,normal,Tanken,6,56.007,93
12,male,52,normal,53119 Bonn,10,49.265,119
12,male,52,normal,WDR 4,5,50.021,108
12,male,52,normal,Max Muster,10,83.244,143
12,male,52,normal,Radio,5,38.257,64
12,male,52,normal,Musik,5,37.109,82
